,_id,client,uuid,last_time,first_visit_dt,last_visit_dt,sessions,assumed_behaviour,behaviour_changed,behaviour_escalated,bought_anything,bought_last_session
619bf1e718378c9e2af962ce,619bf1e718378c9e2af962ce,premier,0ef1c956-44c1-4649-8b81-2a108e95475c,14984.0,2021-11-22 19:39:19.918,2021-11-22 19:39:19.918,0.0,,0.0,0.0,0.0,0.0
619bf208c459460a57df39ed,619bf208c459460a57df39ed,premier,79163c66-bdcc-4daf-962c-ae3af4282c1f,20003.0,2021-11-22 13:39:52.171,2021-11-22 14:26:04.522,1.0,SB,0.0,0.0,0.0,0.0
619bf20dc459460a57df39ef,619bf20dc459460a57df39ef,premier,a5e5beb5-15ee-4c38-bacf-718bb8981e22,20003.0,2021-11-22 19:39:57.544,2021-11-24 23:53:38.442,0.0,SB,1.0,1.0,0.0,0.0
619bf215c459460a57df39f1,619bf215c459460a57df39f1,premier,bb132745-aaaf-4b26-960c-4908fafdf4ba,2983649.0,2021-11-22 19:40:05.258,2021-11-22 19:40:05.258,0.0,,0.0,0.0,0.0,0.0
619bf22ac459460a57df39f5,619bf22ac459460a57df39f5,premier,b14688c9-ee46-4de2-b053-f3e78be4e939,20003.0,2021-11-22 21:40:26.772,2021-11-22 21:40:47.079,1.0,SB,0.0,0.0,0.0,0.0
619bf289c459460a57df39fa,619bf289c459460a57df39fa,premier,12f7ea8d-8d11-4b0b-bc25-7ece020aba77,20006.0,2021-11-22 14:42:01.511,2021-11-22 22:15:57.891,1.0,SB,0.0,0.0,0.0,0.0
619bf2d2c459460a57df39ff,619bf2d2c459460a57df39ff,premier,a97c2629-fcb0-444a-ba7f-2dac123c785a,20000.0,2021-11-22 21:43:14.971,2021-11-22 21:49:26.011,1.0,SB,0.0,0.0,0.0,0.0
619bf2ffc459460a57df3a05,619bf2ffc459460a57df3a05,premier,470e770c-0e30-4d9b-b363-7810790a4a23,30126.0,2021-11-22 11:43:59.509,2021-11-22 11:52:15.460,1.0,SB,0.0,0.0,0.0,0.0
619bf36ec459460a57df3a0f,619bf36ec459460a57df3a0f,premier,13f62e19-a1a1-4093-bc00-16a731ebeec7,20002.0,2021-11-22 13:45:50.212,2021-11-22 13:46:10.093,1.0,SB,0.0,0.0,0.0,0.0
619bf381c459460a57df3a13,619bf381c459460a57df3a13,premier,43a065f4-7e21-4488-a46d-1cc9f223ba0f,20066.0,2021-11-22 19:46:09.890,2021-11-22 19:46:29.506,1.0,SB,0.0,0.0,0.0,0.0
619bf7bac459460a57df3a25,619bf7bac459460a57df3a25,premier,81480f1f-cfd8-41aa-a01b-4688745f6657,19999.0,2021-11-22 15:04:10.903,2021-11-22 15:08:57.476,1.0,SB,0.0,0.0,0.0,0.0
619bf806c459460a57df3a2a,619bf806c459460a57df3a2a,premier,cf97d901-10b3-4000-8fd8-95855c5420b8,171674.0,2021-11-22 20:05:26.669,2021-11-24 23:13:33.454,0.0,SB,1.0,1.0,0.0,0.0
619bf816c459460a57df3a2d,619bf816c459460a57df3a2d,premier,cbf5a1d2-4fe2-4704-8ecb-add6b04d1fb3,20004.0,2021-11-22 15:05:42.145,2021-11-22 15:06:02.232,1.0,SB,0.0,0.0,0.0,0.0
619bf816c459460a57df3a30,619bf816c459460a57df3a30,premier,aae31323-a11a-45e1-b326-4d2094fb736c,20041.0,2021-11-22 15:05:42.225,2021-11-22 15:06:01.985,1.0,SB,0.0,0.0,0.0,0.0
619bf87bc459460a57df3a37,619bf87bc459460a57df3a37,premier,dd4c6dad-53d5-4dad-a662-2ed0cdab9b04,20006.0,2021-11-22 15:07:23.349,2021-11-22 15:15:49.632,1.0,SB,0.0,0.0,0.0,0.0
619bf931c459460a57df3a3d,619bf931c459460a57df3a3d,premier,ab21df7b-c59e-4cc1-b32a-98094b6de207,20000.0,2021-11-22 15:10:25.346,2021-11-22 15:11:17.639,1.0,SB,0.0,0.0,0.0,0.0
619bf972c459460a57df3a42,619bf972c459460a57df3a42,premier,aa40209b-38e8-4aff-9639-036088a0ca1a,20002.0,2021-11-22 22:11:30.265,2021-11-23 14:22:26.613,1.0,SB,0.0,0.0,0.0,0.0
619bf9cec459460a57df3a45,619bf9cec459460a57df3a45,premier,957161e2-275c-40ea-8bd9-36a8dd579fe3,20002.0,2021-11-22 20:13:02.597,2021-11-26 17:54:47.100,0.0,SB,1.0,1.0,0.0,0.0
619bf9e2c459460a57df3a48,619bf9e2c459460a57df3a48,premier,0739a4da-f97c-477e-b6ec-9787dd3a11eb,20005.0,2021-11-23 01:43:22.964,2021-11-23 01:43:42.561,1.0,SB,0.0,0.0,0.0,0.0
619bfa60c459460a57df3a4d,619bfa60c459460a57df3a4d,premier,8be9a4a3-9e36-49f1-94cc-9513ce7b37fe,374234.0,2021-11-22 20:15:28.493,2021-11-22 20:15:28.493,0.0,,0.0,0.0,0.0,0.0
619bfbdec459460a57df3a54,619bfbdec459460a57df3a54,premier,2c4ee351-ca3e-4f9d-a7ae-03c122ea731a,20002.0,2021-11-22 14:21:50.262,2021-11-22 14:22:10.122,1.0,SB,0.0,0.0,0.0,0.0
619bfca1c459460a57df3a59,619bfca1c459460a57df3a59,premier,0b1d9a92-ba3f-4dfe-93d0-7b9697864cbd,20058.0,2021-11-22 14:25:05.991,2021-11-22 14:25:25.831,1.0,SB,0.0,0.0,0.0,0.0
619bfcc6c459460a57df3a5d,619bfcc6c459460a57df3a5d,premier,6948ebeb-bdd4-45cd-821f-1fe1f31a36f6,0.0,2021-11-22 15:25:42.455,2021-11-22 15:25:42.455,1.0,,0.0,0.0,0.0,0.0
619bfe57c459460a57df3a67,619bfe57c459460a57df3a67,premier,87543fb7-5bfc-4ac8-b1de-c8fe83c36c98,20002.0,2021-11-22 14:32:23.988,2021-11-22 14:33:47.154,1.0,DP,0.0,0.0,0.0,0.0
619bfeb6c459460a57df3a6d,619bfeb6c459460a57df3a6d,premier,75b8aa08-557a-4871-89b3-1bfd9c638a1e,39320.0,2021-11-22 12:33:58.003,2021-11-22 12:34:37.453,1.0,SB,0.0,0.0,0.0,0.0
619bff65c459460a57df3a74,619bff65c459460a57df3a74,premier,2d2fd646-c8e7-4e9f-a15e-032f287f1d76,20852.0,2021-11-22 20:36:53.763,2021-11-23 13:24:20.966,0.0,SB,1.0,1.0,0.0,0.0
619bff91c459460a57df3a77,619bff91c459460a57df3a77,premier,409717ca-2ff1-4f81-8352-90dfa6c67f1b,362644.0,2021-11-22 15:37:37.454,2021-11-22 15:43:40.040,1.0,,0.0,0.0,0.0,0.0
619bffc2c459460a57df3a7a,619bffc2c459460a57df3a7a,premier,e2dc1208-17bd-4251-a7cd-7c131ce2bf6e,20100.0,2021-11-22 14:38:26.177,2021-11-23 13:29:28.071,1.0,SB,0.0,0.0,0.0,0.0
619c01b5c459460a57df3a7f,619c01b5c459460a57df3a7f,premier,a566b30f-a7dd-4d72-a59b-68e4dd38f85c,20044.0,2021-11-23 04:46:45.886,2021-11-23 04:47:07.096,1.0,SB,0.0,0.0,0.0,0.0
619c01cdc459460a57df3a83,619c01cdc459460a57df3a83,premier,7b91c147-ffac-4f4f-8d85-61fa6d381e02,20302.0,2021-11-23 04:47:09.411,2021-11-23 04:58:05.762,1.0,SB,0.0,0.0,0.0,0.0
619c0455c459460a57df3a95,619c0455c459460a57df3a95,premier,c4ff2819-1532-4c1c-8341-284aa9610159,0.0,2021-11-22 15:57:57.292,2021-11-22 15:57:57.292,1.0,,0.0,0.0,0.0,0.0
619c045ec459460a57df3a99,619c045ec459460a57df3a99,premier,a0afa226-1704-4e3c-84d8-a49d9dfc5fa6,20002.0,2021-11-22 22:58:06.368,2021-11-22 22:58:25.574,1.0,SB,0.0,0.0,0.0,0.0
619c047cc459460a57df3a9d,619c047cc459460a57df3a9d,premier,6536abf4-87ad-4906-b4ae-8abf7abb0136,0.0,2021-11-22 15:58:36.580,2021-11-22 15:58:36.580,1.0,,0.0,0.0,0.0,0.0
619c0518c459460a57df3aa0,619c0518c459460a57df3aa0,premier,39474f4d-2698-4b18-968d-8d4bc8985741,20001.0,2021-11-22 15:01:12.341,2021-11-22 15:10:32.197,1.0,SB,0.0,0.0,0.0,0.0
619c05a2c459460a57df3aa5,619c05a2c459460a57df3aa5,premier,1e983635-430d-49a2-a9ed-c27b70957059,20002.0,2021-11-22 16:03:30.887,2021-11-22 16:08:50.170,1.0,SB,0.0,0.0,0.0,0.0
619c05d1c459460a57df3aa9,619c05d1c459460a57df3aa9,premier,67c0578a-84d3-43db-b027-03652f48f56c,20001.0,2021-11-22 21:04:17.515,2021-11-24 21:02:05.859,0.0,DP,1.0,1.0,0.0,0.0
619c05e5c459460a57df3aad,619c05e5c459460a57df3aad,premier,0a59e590-5c97-49d9-9466-19a64b5bc878,20014.0,2021-11-22 15:04:37.907,2021-11-22 15:04:57.665,1.0,SB,0.0,0.0,0.0,0.0
619c0761c459460a57df3ac6,619c0761c459460a57df3ac6,premier,386f34ea-47d6-452d-bca2-370917e1ddb4,20000.0,2021-11-22 16:10:57.261,2021-11-22 16:13:24.230,1.0,SB,0.0,0.0,0.0,0.0
619c077ac459460a57df3ac8,619c077ac459460a57df3ac8,premier,23cd6981-d62d-44f0-b961-4c15dd12c1f8,12308165.0,2021-11-22 21:11:22.611,2021-11-22 21:11:22.611,0.0,,0.0,0.0,0.0,0.0
619c07a1c459460a57df3acb,619c07a1c459460a57df3acb,premier,d445dbe4-ed30-4cf6-93f4-b93181818d9a,20129.0,2021-11-22 15:12:01.346,2021-11-23 18:32:58.308,1.0,SB,0.0,0.0,0.0,0.0
619c07b5c459460a57df3ace,619c07b5c459460a57df3ace,premier,ecead79b-f0e5-4161-9cb5-77fffdad0c0c,1271745.0,2021-11-22 23:12:21.091,2021-11-22 23:33:33.003,1.0,,0.0,0.0,0.0,0.0
